------------------------------------------------------------,,,,,,,,,,,,,,,
Pegasus - BAE Systems AI Labs,,,,,,,,,,,,,,,
Environment Data,,,,,,,,,,,,,,,
File created: 05/05/2017 15:53:23 (local),,,,,,,,,,,,,,,
------------------------------------------------------------,,,,,,,,,,,,,,,
Master Index,Session Index,Date (D/M/Y),Time (H:M:S),Vcc,Battery Voltage,Temperature (degC),Humidity (%),Pressure (hPa),Dust (pcs/litre),CO (ppm),CO2 (ppm),NH3 (ppm),O2(%),Sound (dB),Vibration (g)
10816,0,18/04/2017,05:32:04,4.91,12.03,8.1,65.8,1018.25,34.99,0,0,0,9.58,75.83,0.14
10817,1,18/04/2017,05:32:14,4.96,12.14,7.6,66.2,1018.3,35.3,0,0,0,9.42,99.46,0.3
10818,2,18/04/2017,05:32:24,4.96,12.16,7.6,66.4,1018.28,36.09,0,0,0,9.59,52.89,0.08
10819,3,18/04/2017,05:32:34,4.96,12.07,7.5,66.7,1018.22,39.23,0,0,48.54,9.32,53.03,0.08
10820,4,18/04/2017,05:32:44,4.94,12.07,7.5,66.8,1018.27,35.93,0,0,27.49,9.42,52.27,0.08
10821,5,18/04/2017,05:32:54,4.94,12.07,7.5,67,1018.33,37.49,0,0,21.69,9.37,52.89,0.08
10822,6,18/04/2017,05:33:04,4.96,11.99,7.5,67,1018.37,39.23,0,0,16.83,9.42,53.17,0.08
10823,7,18/04/2017,05:33:14,4.96,11.99,7.5,67.2,1018.23,42.38,0,0,14.92,9.32,52.27,0.08
10824,8,18/04/2017,05:33:24,4.91,11.93,7.5,67.2,1018.35,38.89,0,0,13.3,9.31,53.17,0.08
10825,9,18/04/2017,05:33:34,4.96,12.02,7.4,67,1018.31,37.66,0,0,11.67,9.32,52.27,0.08
10826,10,18/04/2017,05:33:44,4.94,11.98,7.4,67.2,1018.37,32.01,0,0,10.37,9.36,52.27,0.08
10827,11,18/04/2017,05:33:54,4.94,11.91,7.4,67.2,1018.41,39.06,0,0,9.35,9.42,52.27,0.08
10828,12,18/04/2017,05:34:04,4.91,11.97,7.4,67.3,1018.4,27.2,0,0,8.63,9.42,52.27,0.08
10829,13,18/04/2017,05:34:14,4.94,12.02,7.4,67.3,1018.42,24.19,0,0,8.88,9.36,52.27,0.08
10830,14,18/04/2017,05:34:24,4.94,11.9,7.4,67.3,1018.35,27.32,0,0,8.06,9.58,52.27,0.08
10831,15,18/04/2017,05:34:34,4.94,11.9,7.4,67.2,1018.38,35.15,0,0,7.46,9.58,53.17,0.08
10832,16,18/04/2017,05:34:44,4.96,11.9,7.4,67.3,1018.38,40.81,0,0,7.46,9.36,52.27,0.08
10833,17,18/04/2017,05:34:54,4.91,11.79,7.4,67.3,1018.42,24.08,0,0,6.71,9.42,52.27,0.08
10834,18,18/04/2017,05:35:04,4.91,11.82,7.4,67.4,1018.43,24.08,0,0,6.84,9.42,52.27,0.08
10835,19,18/04/2017,05:35:14,4.94,11.81,7.4,67.5,1018.48,35.15,0,0,6.41,9.36,62.56,0.08
10836,20,18/04/2017,05:35:24,4.91,11.75,7.4,67.6,1018.39,34.99,0,0,5.72,9.36,52.27,0.08
10837,21,18/04/2017,05:35:34,4.94,11.76,7.4,67.7,1018.45,39.06,0,0,6.15,9.36,52.27,0.08
10838,22,18/04/2017,05:35:44,4.96,11.74,7.4,67.8,1018.43,35.3,0,0,5.56,9.59,52.27,0.08
10839,23,18/04/2017,05:35:54,4.91,11.73,7.3,67.9,1018.46,37.33,0,0,5.6,9.36,53.17,0.08
10840,24,18/04/2017,05:36:04,4.96,11.76,7.4,67.8,1018.48,24.29,0,0,5.11,9.47,52.89,0.08
10841,25,18/04/2017,05:36:14,4.94,11.63,7.4,67.8,1018.47,39.06,0,0,5.03,9.32,52.27,0.08
10842,26,18/04/2017,05:36:24,4.91,11.69,7.4,67.9,1018.45,24.08,0,0,5.33,9.63,53.17,0.08
10843,27,18/04/2017,05:36:34,4.91,11.66,7.3,67.9,1018.45,31.87,0,0,5.3,9.43,53.03,0.08
10844,28,18/04/2017,05:36:44,4.96,11.71,7.3,67.9,1018.4,40.81,0,0,4.61,9.63,52.27,0.08
10845,29,18/04/2017,05:36:54,4.91,11.65,7.3,67.9,1018.47,20.96,0,0,4.93,9.61,52.27,0.08
10846,30,18/04/2017,05:37:05,4.91,11.59,7.3,67.8,1018.43,34.21,0.01,0,4.79,9.43,52.27,0.08
10847,31,18/04/2017,05:37:15,4.94,11.64,7.3,67.8,1018.47,32.01,0.01,0,4.26,9.58,53.03,0.08
10848,32,18/04/2017,05:37:25,4.94,11.62,7.3,67.7,1018.5,39.06,0.01,0,4.34,9.47,52.27,0.08
10849,33,18/04/2017,05:37:35,4.94,11.58,7.3,67.7,1018.48,39.06,0.01,0,4.06,9.49,53.17,0.08
10850,34,18/04/2017,05:37:45,4.91,11.53,7.4,67.7,1018.52,34.99,0.01,0,4.43,9.47,52.27,0.08
10851,35,18/04/2017,05:37:55,4.91,11.55,7.3,67.7,1018.56,38.89,0.01,0,4,9.43,52.27,0.08
10852,36,18/04/2017,05:38:05,4.91,11.6,7.4,67.6,1018.52,24.08,0.01,0,4.13,9.34,52.27,0.08
10853,37,18/04/2017,05:38:15,4.91,11.53,7.4,67.6,1018.6,31.87,0.01,0,3.93,9.43,52.27,0.08
10854,38,18/04/2017,05:38:25,4.94,11.52,7.4,67.6,1018.56,39.06,0.01,0,3.89,9.36,52.27,0.08
10855,39,18/04/2017,05:38:35,4.94,11.55,7.4,67.7,1018.53,39.06,0.01,0,4.12,9.41,52.27,0.08
10856,40,18/04/2017,05:38:45,4.96,11.57,7.4,67.6,1018.55,21.15,0.01,0,4.09,9.43,52.27,0.08
10857,41,18/04/2017,05:38:55,4.96,11.58,7.4,67.6,1018.52,35.3,0.01,0,3.66,9.47,52.27,0.08
